id,word
11,But|soon|<comma> But|soon|I But|quickly|<comma> But|<comma>|soon But|let|me But|again|<comma> But|soon|my But|for|me But|then|soon But|once|I But|so|soon But|forever|<comma> But|a|little But|more|<comma> But|instead|<comma> But|play|me And|soon|<comma> But|then|<comma> But|so|much But|times|<comma> But|time|<comma> But|soon|<unk> But|<comma>|more But|too|<comma> But|<unk>|me But|I|got But|even|soon But|soon|to But|going|to But|I|was But|suddenly|<comma> But|the|<unk> But|first|<comma> But|<comma>|quickly But|once|<comma> but|soon|<comma> But|it|<comma> But|suddenly|I But|anyway|<comma> But|a|soon But|quickly|I But|soon|for But|<comma>|I But|soon|enough But|longer|<comma> But|just|<unk> But|<unk>|<comma> But|a|lot But|pretty|soon But|and|soon But|more|I But|soon|the But|start|to But|easy|<comma> But|there|was But|eventually|<comma> But|soon|about But|I|had But|wait|to But|by|the But|soon|of But|first|I But|more|<unk> But|first|to But|soon|a But|then|I But|soon|it But|actually|have But|<comma>|<comma> But|actually|<comma> But|by|a But|soon|and But|fast|<comma> But|then|a But|if|I But|<comma>|again But|fortunately|<comma> But|try|to But|more|than But|just|was But|usually|<comma> But|<unk>|was But|<comma>|so But|it|was But|starting|to But|more|and But|<comma>|once But|as|soon But|a|bit But|<comma>|let But|this|is But|.|I But|less|I But|<comma>|a But|<comma>|for But|so|quickly But|once|my But|very|much But|for|a But|more|time
12,I|thought|about And|I|thought So|I|thought And|I|was I|thought|of I|was|I I|said|about I|was|this And|so|I I|thought|that I|thought|<comma> I|was|it So|<comma>|I And|I|met So|I|was I|met|on And|I|said I|was|the I|was|that I|thought|it I|said|<comma> I|thought|to I|thought|by I|thought|at I|found|<comma> I|asked|me I|was|so I|thought|this I|met|by So|I|met I|was|on I|thought|on I|met|at Now|<comma>|I I|gave|me I|was|a And|so|<comma> And|I|had I|met|in I|thought|in I|thought|so And|that|I I|met|with I|said|of And|I|found I|was|he I|<unk>|on I|wondered|about I|believed|<comma> and|I|thought I|thought|I And|I|told And|I|asked I|thought|for Well|<comma>|I And|I|got I|came|on But|I|thought I|met|to I|was|about And|I|<unk> I|was|<unk> So|I|said And|I|also I|went|on And|<comma>|I I|decided|<comma> and|I|was I|realized|<comma> I|was|in I|was|some I|was|there What|I|thought I|had|to I|was|my I|also|I And|I|believed I|told|me I|used|to I|thought|he I|thought|out I|was|at And|I|would Now|I|was I|got|to So|I|had And|I|gave I|also|<comma> And|I|went I|was|out I|thought|<unk> I|got|on I|was|you I|wanted|me I|thought|around I|had|a And|I|came And|I|wondered What|I|was So|I|got
13,And|there|was And|I|told And|that|was And|this|is And|here|was And|this|was And|there|told And|that|'s And|then|told And|there|said And|I|said And|it|was And|you|told And|there|'s And|there|is And|so|I And|then|said And|of|course And|that|told And|then|asked And|in|the And|I|was And|he|said And|that|is And|he|was And|there|asked And|this|one And|so|<comma> And|there|were And|it|told And|I|asked And|it|is And|<comma>|I And|here|'s And|so|was And|here|told And|he|told So|there|was And|you|said And|that|one And|there|would And|that|said And|when|I And|where|I And|it|said And|the|<unk> And|there|<comma> And|that|<comma> And|I|talked And|so|<unk> And|in|there And|actually|<comma> And|you|asked And|there|went And|here|is And|in|a And|then|tell And|here|<comma> And|I|'m And|then|<comma> And|for|me And|that|<unk> And|so|is And|I|'ve And|here|said And|my|<unk> And|here|I And|so|there And|so|then And|then|got And|this|has And|that|I And|in|my And|in|that And|they|told And|on|my And|<comma>|my And|at|the And|so|the And|so|told And|so|when And|there|<unk> And|on|the And|there|I And|<comma>|of And|so|he And|where|my And|this|<comma> And|so|you And|then|<unk> And|in|<unk> And|when|my And|there|-- And|so|said And|that|asked And|that|would And|these|are And|there|also And|at|this And|at|that
14,The|best|time And|there|<comma> And|also|<comma> And|the|best Now|<comma>|the And|yet|is And|that|is The|best|<comma> And|it|'s There|is|the The|best|to So|the|best What|is|the And|again|<comma> In|the|time And|so|is And|we|'ve And|then|have And|<unk>|is You|know|the The|most|time And|also|the And|this|is And|yet|<comma> And|it|is <unk>|<comma>|the And|it|was And|so|<comma> And|still|<comma> Anyway|<comma>|the And|in|the <unk>|is|to Another|time|<comma> And|I|have In|fact|<comma> In|other|time The|best|of And|actually|is And|that|was At|the|best In|<unk>|is And|of|course And|all|time At|least|<comma> There|are|the Basically|<comma>|the And|I|'ve Now|the|best <unk>|is|the And|now|<comma> And|anyway|<comma> They|'re|the And|is|the In|some|of But|the|best It|was|the And|that|has And|<comma>|in Well|<comma>|the What|'s|the There|'s|still It|'s|going We|'re|the And|so|we It|is|the You|know|<comma> And|at|the Actually|<comma>|the And|so|are It|'s|still In|addition|to So|we|been In|<unk>|<comma> This|is|they Now|<comma>|it Which|is|the Today|<comma>|the The|same|time And|there|is So|<comma>|in It|also|<comma> So|that|are And|in|some And|it|also And|for|the So|also|<comma> So|it|'s And|<comma>|the And|it|has And|<unk>|<comma> And|there|'s So|there|is So|there|'s And|you|have The|best|the And|still|the We|have|the There|'s|going And|basically|is And|to|work
15,That|'s|what This|is|what So|this|is It|'s|what And|this|is That|is|what That|is|that That|is|this So|that|is So|it|'s That|is|the That|is|it You|know|what And|that|'s And|that|this It|'s|the Now|this|is That|'s|the And|that|it And|that|is Which|is|the which|is|what This|is|the And|that|<comma> So|<comma>|it That|is|something So|that|makes Which|is|it So|<comma>|that It|is|what So|<comma>|this It|'s|something That|is|you But|this|is It|is|that So|that|<unk> That|was|what and|this|is And|it|'s This|is|something So|that|does And|that|are That|is|<comma> Which|is|<unk> That|'s|it It|'s|that So|that|has So|that|'s <unk>|<comma>|what And|it|is and|that|'s So|<comma>|what So|it|is But|that|what It|is|this That|is|there That|'s|how That|is|a So|that|was And|that|have Which|is|this That|'s|something It|'s|a Which|is|that These|are|what And|so|<comma> And|that|there So|that|<comma> So|there|are This|is|how There|it|'s That|is|so It|'s|like The|thing|is We|'re|what So|<comma>|you That|'s|all It|is|the So|here|<comma> And|that|can Well|this|is And|that|you and|that|is This|was|what And|that|that Now|<comma>|what That|is|they That|'s|a It|'s|this That|'s|that Which|is|a And|that|do That|'s|why This|is|a Which|is|you So|there|is It|'s|about It|is|it that|is|what Which|is|happening
16,That|was|the This|was|the And|that|was And|this|was So|this|was So|that|was The|moment|<comma> It|was|that This|is|the And|it|was It|was|the Which|was|that And|that|'s It|was|on So|it|was which|was|the That|was|that That|'s|been Now|this|was There|was|the So|that|'s Which|was|this This|was|a The|moment|was You|know|that Now|that|was This|was|what That|was|<comma> and|this|was This|was|that and|that|was Which|was|the That|was|what this|was|the that|was|that And|this|is It|was|this that|was|this It|was|to It|was|of It|was|in That|'s|a That|was|this It|was|at That|was|at That|was|a That|'s|the I|was|the That|was|my This|was|<comma> This|is|at This|was|all This|was|at This|was|just But|this|was So|<comma>|this He|was|that That|was|all It|was|one What|was|the So|the|moment This|was|this This|was|on This|was|really So|<comma>|that It|was|<comma> It|was|it So|<comma>|in This|was|actually It|was|we This|was|one You|know|the Which|was|it There|was|it And|the|moment That|was|one That|was|just You|know|<comma> So|this|is So|<comma>|the And|so|<comma> Now|<comma>|this That|was|on That|was|where That|is|that But|that|was You|know|this It|was|been You|'ve|was that|was|the There|was|that This|was|my Now|<comma>|in And|that|is I|mean|<comma> There|was|this This|is|that That|was|really that|was|it And|so|much
17,And|this|was This|was|what And|that|was This|was|a So|this|was And|that|made And|this|made And|this|is This|was|<unk> So|this|made And|that|did And|that|'s And|it|made So|that|was And|this|did This|was|an That|was|<unk> This|made|that This|did|that It|was|doing And|this|has This|was|the This|made|this So|this|did This|made|out And|this|led That|was|doing This|is|<unk> This|was|something That|was|a And|it|did This|made|it And|that|has So|it|made So|that|makes This|was|<comma> This|has|been And|that|<unk> So|<comma>|this So|that|<unk> So|<comma>|I There|was|doing And|it|was This|made|<comma> and|that|was This|did|this This|was|how and|this|was And|this|<unk> This|led|to So|<comma>|that That|was|what And|that|took So|<comma>|it And|that|makes This|is|that So|there|was So|that|did So|this|is It|made|that So|that|made And|that|is That|did|that This|<unk>|<comma> This|was|actually And|so|did This|would|be This|was|in And|this|would This|was|when They|did|<comma> This|is|this And|that|got And|so|was And|I|did And|this|got This|was|some That|was|made This|is|a That|'s|what This|made|up And|this|took That|was|the And|this|created And|it|got It|made|<comma> This|did|it So|it|did And|this|makes That|made|<unk> This|is|it And|that|turned So|that|'s It|made|it This|was|happening and|it|was So|<comma>|we This|was|where And|there|is And|so|made
18,At|this|moment At|that|'s At|this|point At|that|is At|that|one At|this|time In|this|is And|this|is At|that|was This|is|that And|in|the And|at|that And|at|this At|that|<comma> At|that|time At|that|has There|are|there At|this|end In|that|is This|is|this And|there|in And|then|there And|on|that So|at|that So|in|the The|moment|<comma> And|at|the So|this|is And|then|<comma> There|'s|this At|that|will At|that|actually So|there|<comma> And|the|moment So|<comma>|this At|that|does And|in|that So|at|this There|'s|that This|is|the At|the|time On|this|is And|that|is You|know|<comma> And|to|this At|that|you At|that|just By|that|moment At|that|at At|that|there At|that|in And|<comma>|there At|that|goes And|in|this And|there|<comma> Now|<comma>|there At|this|one At|that|of At|that|on There|is|in At|that|the There|are|this Well|<comma>|there At|those|are At|that|<unk> And|on|this And|by|that Now|<comma>|in And|there|at And|that|one And|that|'s At|the|moment There|'s|the At|it|'s There|'s|at At|the|one At|that|first In|the|moment That|'s|time And|it|<comma> And|on|the So|<comma>|at At|that|all At|this|game And|with|that In|that|<comma> At|this|first At|that|now In|that|'s And|to|that At|that|it At|that|moment And|on|there There|is|a At|that|also It|'s|in There|'s|on At|this|stage And|this|one At|that|would
19,<unk>|<comma>|if You|know|if You|know|when You|know|<comma> <unk>|if|you If|you|know And|you|know So|if|you Did|you|'re If|you|think <unk>|<comma>|when Do|you|go Just|if|you And|you|think Do|you|want Do|you|get <unk>|when|you Did|you|are <unk>|you|know Get|if|you Do|you|see So|<comma>|you Do|you|have Are|you|know Do|you|know Notice|if|you Just|when|you Now|<comma>|if Do|you|<comma> Did|you|have Does|you|<comma> Do|you|think If|you|want As|you|if Do|you|in Now|<comma>|when Imagine|if|you Did|you|go Remember|if|you Do|you|'re Go|if|you Now|if|you Did|you|get As|you|when Do|you|<unk> <unk>|<unk>|when They|know|<comma> Go|when|you And|if|you Do|you|are So|when|you But|if|you Have|you|know Did|you|'ve If|you|have If|you|feel If|you|remember And|you|remember Do|you|when If|you|mean Did|you|put Do|you|feel And|so|much And|remember|when Get|when|you I|mean|if Let|'s|going And|you|tell Did|you|think Just|want|to If|you|<comma> Did|you|take Guess|when|you If|you|imagine Is|you|think You|see|when And|you|imagine Will|you|when And|<unk>|when Do|you|take Imagine|when|you Do|you|do I|mean|<comma> And|please|when <unk>|in|your They|want|to And|you|<comma> Come|on|your And|let|me But|you|if Guess|if|you <unk>|on|your Did|you|<unk> But|you|when If|you|notice Do|you|all Do|you|if Do|you|can Watch|if|you Get|<comma>|if
20,I|want|to And|I|want So|I|want I|want|a I|want|some So|<comma>|I So|let|me I|'m|a Let|me|<comma> And|so|I What|I|want Now|<comma>|I But|I|want Let|me|a So|I|'d I|would|be And|I|'d I|'d|see I|'d|just I|want|for I|'d|be Now|I|want And|let|me I|'d|tell I|want|you and|I|want So|I|'m I|want|it And|I|'m I|wanted|to I|'m|some Well|<comma>|I I|want|about You|know|a I|do|I I|'d|give We|want|some And|<comma>|I Let|me|at And|so|<comma> I|want|one I|want|that I|will|be Let|me|about So|this|is So|I|'ll I|want|an I|'d|have I|want|something I|want|just So|what|I So|I|would And|I|'ll Well|<comma>|a Well|I|want I|'d|show So|<comma>|let I|want|the And|I|would Let|me|I So|I|wanted Let|me|to I|do|that So|now|I I|do|you Let|me|have And|I|do Let|me|just Now|I|'d so|I|want All|I|want And|what|I And|that|a So|I|do Now|let|me And|I|wanted And|this|is This|is|a And|I|will So|I|will You|know|some So|we|want Let|me|there You|want|to Let|me|for Let|me|. So|that|is Let|me|here There|are|a I|want|<comma> I|will|I Do|you|<comma> I|have|a Well|<comma>|let So|let|I Let|me|now And|so|? I|'d|you But|I|'d I|'d|talk
21,Oh|<comma>|yeah Oh|<comma>|yes Oh|yeah|! Oh|<comma>|<comma> Oh|<comma>|! Oh|<comma>|it Oh|<comma>|there Oh|!|You Oh|yes|! Oh|<comma>|you Oh|<comma>|thank Oh|<comma>|I Oh|<comma>|... Oh|<comma>|Yeah Oh|<comma>|no Oh|<comma>|<unk> Oh|<comma>|okay Oh|.|</s> Oh|yeah|. oh|<comma>|yeah Oh|<comma>|did Oh|<comma>|so Oh|<comma>|</s> Oh|<comma>|hey Oh|<comma>|oh Oh|<comma>|the Oh|<comma>|sorry Oh|<comma>|OK Oh|<comma>|this Ah|<comma>|yeah Oh|<comma>|all Oh|<comma>|. Well|<comma>|yeah Oh|<comma>|a <unk>|<comma>|yeah Oh|<comma>|my <unk>|<comma>|yes Oh|<comma>|said Oh|<comma>|of Oh|<comma>|Thank Oh|<comma>|got Oh|<comma>|one No|<comma>|yeah Oh|<comma>|she Oh|<comma>|let Oh|yeah|<comma> Well|<comma>|yes Well|<comma>|oh Oh|<comma>|sure Yeah|<comma>|yeah Oh|<comma>|) Oh|<comma>|right <unk>|<comma>|oh Oh|<comma>|here Oh|<comma>|that Oh|<comma>|they Oh|<comma>|we <quote>|Oh|! Oh|<comma>|up Oh|<comma>|well Oh|<comma>|says Oh|<comma>|does Oh|<comma>|is Oh|<comma>|in Oh|<comma>|just Oh|<unk>|! Oh|<comma>|me Oh|--|yeah Oh|<comma>|really Oh|<comma>|thinking Oh|<comma>|say Oh|<comma>|Yes I|mean|<comma> Oh|yes|. Now|<comma>|yeah Oh|<comma>|on Oh|<comma>|fine Yes|<comma>|yeah Oh|!|So Oh|it|! Oh|<comma>|do Oh|<comma>|nobody Oh|<comma>|good Oh|<comma>|if Oh|<comma>|thought And|yes|<comma> Hey|<comma>|yeah Oh|!|</s> Oh|there|! Oh|<comma>|then Oh|!|They Oh|I|mean Oh|<comma>|was oh|<comma>|yes So|<comma>|yeah Oh|sorry|! Oh|<comma>|cool Oh|<comma>|everybody Oh|<comma>|believe --|yeah|!
22,This|is|not That|'s|not This|is|n't So|this|is And|this|is Now|this|is And|that|is These|are|n't That|is|not That|is|n't It|'s|not So|<comma>|this Now|<comma>|I Now|<comma>|this And|these|are So|that|'s Which|is|not It|'s|my Now|that|is Now|<comma>|it These|are|not and|this|is It|'s|I So|these|are So|<comma>|it Here|'s|not So|<comma>|that I|think|about It|'s|this Now|<comma>|that So|here|'s The|idea|<comma> So|that|are But|this|is It|is|not So|that|is There|'s|not This|was|not This|is|no I|mean|<comma> It|'s|the It|'s|that Now|<comma>|is Now|<comma>|of And|that|'s I|think|<comma> Here|is|n't That|'s|n't You|know|that Now|that|'s So|here|is It|'s|<comma> Because|this|is Well|<comma>|I It|'s|really So|<comma>|I Here|is|not In|fact|<comma> You|know|this This|was|n't The|fact|<comma> Now|these|are It|'s|it It|was|n't And|here|is It|'s|no In|this|is It|is|n't I|'m|my And|it|'s This|is|<comma> this|is|the What|this|point So|this|was So|that|<comma> <unk>|<comma>|this It|'s|<unk> this|is|it You|know|<comma> So|that|this Now|here|'s So|that|have Which|is|n't Now|<comma>|the There|is|n't I|do|n't Here|'s|no That|'s|no It|was|not and|that|is So|there|'s So|those|are Now|<comma>|really I|'m|<comma> So|it|'s this|is|my that|'s|my Now|<comma>|not I|do|I And|here|'s
